date,watertemp,sealv,precip,temp,vwind,dwind,sin,cos,precip1,precip2,precip3,precip4,precip5,precipsum,meantemp,raise,waterlv
2008-10-22,11.89,523.83,3.4,10.2,4.5,221.25,-0.659345815100069,-0.751839807478978,4.7,0,1.5,0.4,5.8,12.4,10.618,TRUE,73.48
2008-10-23,11.86,529,0.8,7.55,4.75,212.5,-0.537299608346824,-0.843391445812886,3.4,4.7,0,1.5,0.4,10,10.848,TRUE,73.71
2008-10-24,11.84,505.5,0,7,5.5,188.75,-0.152123386189917,-0.988361510467761,0.8,3.4,4.7,0,1.5,10.4,10.418,FALSE,74.08
2008-10-25,11.82,524.5,0,7.65,3.38,200,-0.342020143325669,-0.939692620785908,0,0.8,3.4,4.7,0,8.9,9.648,TRUE,74.17
2008-10-26,11.8,501.67,3.6,10.9,7.25,202.5,-0.38268343236509,-0.923879532511287,0,0,0.8,3.4,4.7,8.9,8.916,FALSE,74.28
2008-10-27,11.77,534.5,2.5,9.84,5,210,-0.5,-0.866025403784439,3.6,0,0,0.8,3.4,7.8,8.66,TRUE,74.38
2008-10-28,11.75,530.83,0,7.1,5.75,210,-0.5,-0.866025403784439,2.5,3.6,0,0,0.8,6.9,8.588,TRUE,74.7
2008-10-29,11.72,543.17,1.1,5.59,1.25,110,0.939692620785908,-0.342020143325669,0,2.5,3.6,0,0,6.1,8.498,TRUE,75.34
2008-10-30,11.69,556.17,9.2,8.43,7.88,112.5,0.923879532511287,-0.38268343236509,1.1,0,2.5,3.6,0,7.2,8.216,TRUE,76.18
2008-10-31,11.66,536.33,0.9,6.01,8.88,220,-0.642787609686539,-0.766044443118978,9.2,1.1,0,2.5,3.6,16.4,8.372,TRUE,76.88
2008-11-01,11.62,545.83,0,5.79,4.5,93.75,0.997858923238603,-0.065403129230143,0.9,9.2,1.1,0,2.5,13.7,7.394,TRUE,78.75
2008-11-02,11.59,532.67,0,7.41,3.75,72.5,0.953716950748227,0.300705799504273,0,0.9,9.2,1.1,0,11.2,6.584,TRUE,80.22
2008-11-03,11.55,525.83,0,5.73,2.63,103.75,0.971342069813261,-0.237685892326173,0,0,0.9,9.2,1.1,11.2,6.646,FALSE,81.29
2008-11-04,11.51,526.67,0,6.99,2.13,98.75,0.988361510467761,-0.152123386189917,0,0,0,0.9,9.2,10.1,6.674,FALSE,81.38
2008-11-05,11.47,523.17,0.1,8.81,5.38,76.25,0.971342069813261,0.237685892326173,0,0,0,0,0.9,0.9,6.386,FALSE,80.59
2008-11-06,11.34,526.17,0,6.43,6.63,87.5,0.999048221581858,0.043619387365336,0.1,0,0,0,0,0.1,6.946,FALSE,80.48
2008-11-07,11.26,510.83,0,5.36,4,137.5,0.67559020761566,-0.737277336810124,0,0.1,0,0,0,0.1,7.074,FALSE,79.93
2008-11-08,11.23,508.17,0,7.44,2.25,132.5,0.737277336810124,-0.67559020761566,0,0,0.1,0,0,0.1,6.664,FALSE,78.78
2008-11-09,11.19,501.67,0.4,10.64,5.25,192.5,-0.216439613938103,-0.976296007119933,0,0,0,0.1,0,0.1,7.006,FALSE,77.45
2008-11-10,11.15,485.5,0.5,11.46,7,191.25,-0.195090322016128,-0.98078528040323,0.4,0,0,0,0.1,0.5,7.736,FALSE,76.42
2008-11-11,11.13,489.67,0.5,12.1,7.5,200,-0.342020143325669,-0.939692620785908,0.5,0.4,0,0,0,0.9,8.266,FALSE,75.08
2008-11-12,11.12,496.17,0,7.24,4.75,200,-0.342020143325669,-0.939692620785908,0.5,0.5,0.4,0,0,1.4,9.4,FALSE,73.98
2008-11-13,11.08,507.83,0.7,6.61,5.88,217.5,-0.608761429008721,-0.793353340291235,0,0.5,0.5,0.4,0,1.4,9.776,FALSE,73.08
2008-11-14,11.08,499.83,2.4,6.09,7.88,216.25,-0.591309648363582,-0.806444604267483,0.7,0,0.5,0.5,0.4,2.1,9.61,TRUE,72.86
2008-11-15,11.03,504.67,0.2,9.91,12.13,250,-0.939692620785908,-0.342020143325669,2.4,0.7,0,0.5,0.5,4.1,8.7,TRUE,73.02
2008-11-16,10.99,517.17,5,8.55,10.38,272.5,-0.999048221581858,0.043619387365336,0.2,2.4,0.7,0,0.5,3.8,8.39,TRUE,73.87
2008-11-17,10.97,549.33,0,4.63,4.75,307.5,-0.793353340291235,0.608761429008721,5,0.2,2.4,0.7,0,8.3,7.68,TRUE,76.28
2008-11-18,10.93,500.67,6.6,3.04,7.75,202.5,-0.38268343236509,-0.923879532511287,0,5,0.2,2.4,0.7,8.3,7.158,TRUE,80.92
2008-11-19,10.88,535.33,8.2,6.69,9.13,271.25,-0.999762027079909,0.021814885034561,6.6,0,5,0.2,2.4,14.2,6.444,TRUE,82.76
2008-11-20,10.82,537.83,11.6,7.44,8.25,288.75,-0.946930129495106,0.321439465303161,8.2,6.6,0,5,0.2,20,6.564,TRUE,84.26
2008-11-21,10.76,550.17,5.7,1.83,5.13,277.5,-0.99144486137381,0.130526192220051,11.6,8.2,6.6,0,5,31.4,6.07,TRUE,86.81
2008-11-22,10.68,559,19.8,-0.33,4,200,-0.342020143325669,-0.939692620785908,5.7,11.6,8.2,6.6,0,32.1,4.726,TRUE,89.31
2008-11-23,10.61,574.83,3.6,1.98,5.88,306.25,-0.806444604267483,0.591309648363582,19.8,5.7,11.6,8.2,6.6,51.9,3.734,TRUE,91.86
2008-11-24,10.49,559.33,15.9,0.85,6.5,266.25,-0.997858923238603,-0.065403129230143,3.6,19.8,5.7,11.6,8.2,48.9,3.522,TRUE,96.89
2008-11-25,10.36,559,5.6,0.8,3.5,261.25,-0.988361510467761,-0.152123386189917,15.9,3.6,19.8,5.7,11.6,56.6,2.354,TRUE,100.79
2008-11-26,10.26,533.5,1.1,3.1,5.88,270,-1,-1.84E-16,5.6,15.9,3.6,19.8,5.7,50.6,1.026,TRUE,103.02
2008-11-27,10.14,531.17,0,6.34,7.38,246.25,-0.915311479119447,-0.402746689858737,1.1,5.6,15.9,3.6,19.8,46,1.28,TRUE,104.05
2008-11-28,10.05,521.17,0,4.04,4.5,191.25,-0.195090322016128,-0.98078528040323,0,1.1,5.6,15.9,3.6,26.2,2.614,TRUE,104.85
2008-11-29,10.01,538.17,0,1.84,4.63,126.25,0.806444604267483,-0.591309648363582,0,0,1.1,5.6,15.9,22.6,3.026,FALSE,105.02
2008-11-30,9.97,530.5,0,3.33,3.5,146.25,0.555570233019602,-0.831469612302545,0,0,0,1.1,5.6,6.7,3.224,FALSE,104.08
2008-12-01,9.9,532.83,0.3,3.4,3.38,138.75,0.659345815100069,-0.751839807478977,0,0,0,0,1.1,1.1,3.73,FALSE,103.11
2008-12-02,9.84,541.33,1.3,5.14,7.75,182.5,-0.043619387365336,-0.999048221581858,0.3,0,0,0,0,0.3,3.79,FALSE,101.9
2008-12-03,9.78,519.67,1.3,3.23,6,176.25,0.065403129230143,-0.997858923238603,1.3,0.3,0,0,0,1.6,3.55,FALSE,101.04
2008-12-04,9.74,523,0,1.91,6.38,182.5,-0.043619387365336,-0.999048221581858,1.3,1.3,0.3,0,0,2.9,3.388,FALSE,100.4
2008-12-05,9.69,533.83,0.4,3.05,2.88,158.75,0.362438038283702,-0.932007869282798,0,1.3,1.3,0.3,0,2.9,3.402,FALSE,99.83
2008-12-06,9.65,533.5,11.7,3.19,1.88,171.25,0.152123386189917,-0.988361510467761,0.4,0,1.3,1.3,0.3,3.3,3.346,FALSE,98.33
2008-12-07,9.6,533.17,2.1,5.03,3.63,288.75,-0.946930129495106,0.321439465303161,11.7,0.4,0,1.3,1.3,14.7,3.304,FALSE,97.06
2008-12-08,9.56,520.67,0.7,1.84,3.63,210,-0.5,-0.866025403784439,2.1,11.7,0.4,0,1.3,15.5,3.282,FALSE,96.58
2008-12-09,9.54,520,0.1,2.6,5.13,206.25,-0.442288690219001,-0.896872741532688,0.7,2.1,11.7,0.4,0,14.9,3.004,FALSE,96.18
2008-12-10,9.49,528.17,0.8,1.43,5,201.25,-0.362438038283701,-0.932007869282799,0.1,0.7,2.1,11.7,0.4,15,3.142,FALSE,95.31
2008-12-11,9.47,526.83,8,1.68,2.25,115,0.90630778703665,-0.422618261740699,0.8,0.1,0.7,2.1,11.7,15.4,2.818,FALSE,94.3
2008-12-12,9.41,522.67,1.1,3.08,3,172.5,0.130526192220052,-0.99144486137381,8,0.8,0.1,0.7,2.1,11.7,2.516,FALSE,93.55
2008-12-13,9.37,514,0,1.9,3.38,130,0.766044443118978,-0.642787609686539,1.1,8,0.8,0.1,0.7,10.7,2.126,FALSE,92.95
2008-12-14,9.35,510.5,0,-0.28,4.75,118.75,0.876726755707508,-0.480988768919387,0,1.1,8,0.8,0.1,10,2.138,FALSE,92.47
2008-12-15,9.31,507.17,1.8,-0.19,4.25,137.5,0.67559020761566,-0.737277336810124,0,0,1.1,8,0.8,9.9,1.562,FALSE,91.63
2008-12-16,9.23,503.83,0,0.56,2.5,137.5,0.67559020761566,-0.737277336810124,1.8,0,0,1.1,8,10.9,1.238,FALSE,90.74
2008-12-17,9.19,499,0,2.85,2.25,176.25,0.065403129230143,-0.997858923238603,0,1.8,0,0,1.1,2.9,1.014,FALSE,89.96
2008-12-18,9.13,495.67,0,3.1,1.13,135,0.707106781186548,-0.707106781186547,0,0,1.8,0,0,1.8,0.968,FALSE,88.58
2008-12-19,9.11,494.67,0.8,1.9,3.38,217.5,-0.608761429008721,-0.793353340291235,0,0,0,1.8,0,1.8,1.208,FALSE,87.54
2008-12-20,9.06,506.83,2.2,4.13,8.5,241.25,-0.876726755707508,-0.480988768919388,0.8,0,0,0,1.8,2.6,1.644,FALSE,86.33
2008-12-21,9.06,523,3.3,5.16,6.25,267.5,-0.999048221581858,-0.043619387365336,2.2,0.8,0,0,0,3,2.508,TRUE,85.63
2008-12-22,9.02,512.83,0,6.6,10.38,267.5,-0.999048221581858,-0.043619387365336,3.3,2.2,0.8,0,0,6.3,3.428,TRUE,87.26
2008-12-23,9,558,0,3.81,5.25,335,-0.422618261740699,0.90630778703665,0,3.3,2.2,0.8,0,6.3,4.178,TRUE,89.21
2008-12-24,8.98,524,0.3,0.76,2,158.75,0.362438038283702,-0.932007869282798,0,0,3.3,2.2,0.8,6.3,4.32,TRUE,95.12
2008-12-25,8.92,522.5,0.3,1.03,2.88,108.75,0.946930129495106,-0.321439465303162,0.3,0,0,3.3,2.2,5.8,4.092,TRUE,97.95
2008-12-26,8.85,509.33,0,1.25,2.25,120,0.866025403784439,-0.5,0.3,0.3,0,0,3.3,3.9,3.472,FALSE,98.25
2008-12-27,8.82,508.83,0.3,0.56,1.88,201.25,-0.362438038283701,-0.932007869282799,0,0.3,0.3,0,0,0.6,2.69,FALSE,97.42
2008-12-28,8.78,512,0.1,0.68,1.13,131.25,0.751839807478977,-0.659345815100069,0.3,0,0.3,0.3,0,0.9,1.482,FALSE,95.52
2008-12-29,8.75,502.83,0,-2.19,2.38,153.75,0.442288690219001,-0.896872741532688,0.1,0.3,0,0.3,0.3,1,0.856,FALSE,93.52
2008-12-30,8.75,494.83,0,-5.29,1.25,95,0.996194698091746,-0.087155742747658,0,0.1,0.3,0,0.3,0.7,0.266,FALSE,91.94
2008-12-31,8.65,490.67,0,-5.94,2,182.5,-0.043619387365336,-0.999048221581858,0,0,0.1,0.3,0,0.4,-0.998,FALSE,90.47
2009-01-01,8.6,510.17,0.3,0.76,3.5,118.75,0.876726755707508,-0.480988768919387,0,0,0,0.1,0.3,0.4,-2.436,FALSE,88.63
2009-01-02,8.54,504.5,0,-0.03,3.63,323.75,-0.591309648363582,0.806444604267483,0.3,0,0,0,0.1,0.4,-2.396,FALSE,86.81
2009-01-03,8.48,508.33,9.5,1.13,6.63,280,-0.984807753012208,0.17364817766693,0,0.3,0,0,0,0.3,-2.538,FALSE,86.19
2009-01-04,8.41,510,0,-4.04,2.63,123.75,0.831469612302545,-0.555570233019602,9.5,0,0.3,0,0,9.8,-1.874,FALSE,85.9
2009-01-05,8.34,503.5,0,-12.29,2.13,203.75,-0.402746689858737,-0.915311479119447,0,9.5,0,0.3,0,9.8,-1.624,FALSE,85.54
2009-01-06,8.27,478.5,0,-6.9,6.63,213.75,-0.555570233019602,-0.831469612302545,0,0,9.5,0,0.3,9.8,-2.894,FALSE,84.89
2009-01-07,8.26,511.33,1,-2.08,9.25,246.25,-0.915311479119447,-0.402746689858737,0,0,0,9.5,0,9.5,-4.426,FALSE,84.31
2009-01-08,8.2,501.67,0.3,-1.68,7.75,258.75,-0.98078528040323,-0.195090322016129,1,0,0,0,9.5,10.5,-4.836,FALSE,83.47
2009-01-09,8.18,501.17,0.4,2.11,8.63,252.5,-0.953716950748227,-0.300705799504273,0.3,1,0,0,0,1.3,-5.398,FALSE,83.48
2009-01-10,8.09,507,0.1,1.85,3.88,233.75,-0.806444604267483,-0.591309648363582,0.4,0.3,1,0,0,1.7,-4.168,FALSE,83.16
2009-01-11,8.06,482.83,0,1.14,6.88,210,-0.5,-0.866025403784439,0.1,0.4,0.3,1,0,1.8,-1.34,FALSE,82.88
2009-01-12,8.01,473.33,0,0.78,6.5,196.25,-0.279829014030992,-0.960049854385929,0,0.1,0.4,0.3,1,1.8,0.268,FALSE,82.34
2009-01-13,7.98,491.33,0,0.44,6.25,207.5,-0.461748613235034,-0.887010833178222,0,0,0.1,0.4,0.3,0.8,0.84,FALSE,81.9
2009-01-14,7.92,512,0.3,1.73,3,197.5,-0.300705799504273,-0.953716950748227,0,0,0,0.1,0.4,0.5,1.264,FALSE,81.21
2009-01-15,7.94,527.83,0.2,1.61,3,258.75,-0.98078528040323,-0.195090322016129,0.3,0,0,0,0.1,0.4,1.188,FALSE,80.73
2009-01-16,7.89,523.5,0,0.34,2.88,117.5,0.887010833178222,-0.461748613235034,0.2,0.3,0,0,0,0.5,1.14,TRUE,80.59
2009-01-17,7.87,504,0,-1.76,2.63,125,0.819152044288992,-0.573576436351046,0,0.2,0.3,0,0,0.5,0.98,FALSE,81.58
2009-01-18,7.82,493.67,2.6,-2.1,5.38,137.5,0.67559020761566,-0.737277336810124,0,0,0.2,0.3,0,0.5,0.472,FALSE,81.55
2009-01-19,7.79,500.33,1.2,0.48,3.88,188.75,-0.152123386189917,-0.988361510467761,2.6,0,0,0.2,0.3,3.1,-0.036,FALSE,80.5
2009-01-20,7.78,499,1.2,1.94,3.75,177.5,0.043619387365336,-0.999048221581858,1.2,2.6,0,0,0.2,4,-0.286,FALSE,79.52
2009-01-21,7.69,502.83,3.7,0.54,1.5,72.5,0.953716950748227,0.300705799504273,1.2,1.2,2.6,0,0,5,-0.22,FALSE,78.74
2009-01-22,7.72,503.33,0,1.71,2.5,268.75,-0.999762027079909,-0.021814885034561,3.7,1.2,1.2,2.6,0,8.7,-0.18,FALSE,78
2009-01-23,7.72,490,0,1.31,6.5,133.75,0.722363962059756,-0.691513055782269,0,3.7,1.2,1.2,2.6,8.7,0.514,FALSE,77.85
2009-01-24,7.63,509.17,0.3,3.95,4,158.75,0.362438038283702,-0.932007869282798,0,0,3.7,1.2,1.2,6.1,1.196,FALSE,77.23
2009-01-25,7.68,505,0,1.95,3.75,240,-0.866025403784438,-0.5,0.3,0,0,3.7,1.2,5.2,1.89,FALSE,76.66
2009-01-26,7.64,504.83,0,0.38,1.88,183.75,-0.065403129230143,-0.997858923238603,0,0.3,0,0,3.7,4,1.892,FALSE,76.6
2009-01-27,7.63,504.33,0,-1.68,1.13,141.25,0.625923472184059,-0.779884483092882,0,0,0.3,0,0,0.3,1.86,FALSE,76.35
2009-01-28,7.62,500.17,0,-0.66,1.25,171.25,0.152123386189917,-0.988361510467761,0,0,0,0.3,0,0.3,1.182,FALSE,75.87
2009-01-29,7.6,500.17,0.1,1.34,2,307.5,-0.793353340291235,0.608761429008721,0,0,0,0,0.3,0.3,0.788,FALSE,75.29
2009-01-30,7.58,505.67,3.2,1.5,3.25,105,0.965925826289068,-0.258819045102521,0.1,0,0,0,0,0.1,0.266,FALSE,74.76
2009-01-31,7.55,504.67,0.1,-0.36,5.38,61.25,0.876726755707508,0.480988768919388,3.2,0.1,0,0,0,3.3,0.176,TRUE,74.68
2009-02-01,7.57,491.33,0,-3.54,5.38,82.5,0.99144486137381,0.130526192220052,0.1,3.2,0.1,0,0,3.4,0.028,FALSE,74.97
2009-02-02,7.53,483,0,-3.16,5,98.75,0.988361510467761,-0.152123386189917,0,0.1,3.2,0.1,0,3.4,-0.344,FALSE,74.59
2009-02-03,7.5,480.33,0,-2.9,4.88,116.25,0.896872741532688,-0.442288690219001,0,0,0.1,3.2,0.1,3.4,-0.844,FALSE,74.12
2009-02-04,7.46,479.67,0,-1.06,2.63,107.5,0.953716950748227,-0.300705799504273,0,0,0,0.1,3.2,3.3,-1.692,FALSE,73.43
2009-02-05,7.45,480,0,1.35,3.25,172.5,0.130526192220052,-0.99144486137381,0,0,0,0,0.1,0.1,-2.204,FALSE,72.24
2009-02-06,7.4,481,0.4,2.26,4,173.75,0.108866874851965,-0.99405633822232,0,0,0,0,0,0,-1.862,FALSE,71.23
2009-02-07,7.36,490,0.1,1,2.5,135,0.707106781186548,-0.707106781186547,0.4,0,0,0,0,0.4,-0.702,FALSE,70.28
2009-02-08,7.32,487.83,0.1,1.53,6.63,235,-0.819152044288992,-0.573576436351046,0.1,0.4,0,0,0,0.5,0.13,FALSE,69.18
2009-02-09,7.29,483.5,0,0.23,4.25,207.5,-0.461748613235034,-0.887010833178222,0.1,0.1,0.4,0,0,0.6,1.016,FALSE,68.35
2009-02-10,7.25,482.83,4.8,-0.23,5.25,117.5,0.887010833178222,-0.461748613235034,0,0.1,0.1,0.4,0,0.6,1.274,FALSE,68.18
2009-02-11,7.24,508.5,1.5,0.98,2.38,143.75,0.591309648363582,-0.806444604267483,4.8,0,0.1,0.1,0.4,5.4,0.958,FALSE,67.46
2009-02-12,7.23,511.33,0.1,1.63,3.13,316.25,-0.691513055782269,0.722363962059756,1.5,4.8,0,0.1,0.1,6.5,0.702,TRUE,67.08
2009-02-13,7.2,508.83,4.2,1.4,3.75,310,-0.766044443118978,0.642787609686539,0.1,1.5,4.8,0,0.1,6.5,0.828,TRUE,68.04
2009-02-14,7.2,506.17,0,1.05,4.75,181.25,-0.021814885034561,-0.999762027079909,4.2,0.1,1.5,4.8,0,10.6,0.802,TRUE,69.36
2009-02-15,7.16,498,0,-0.1,3.13,305,-0.819152044288992,0.573576436351046,0,4.2,0.1,1.5,4.8,10.6,0.966,TRUE,70.48
2009-02-16,7.15,499.17,1.9,-1.24,2.63,208.75,-0.480988768919387,-0.876726755707508,0,0,4.2,0.1,1.5,5.8,0.992,TRUE,70.87
2009-02-17,7.16,505.17,2.3,-0.8,5.75,40,0.642787609686539,0.766044443118978,1.9,0,0,4.2,0.1,6.2,0.548,TRUE,71.75
2009-02-18,7.22,500.83,3,-0.26,5.25,218.75,-0.625923472184059,-0.779884483092882,2.3,1.9,0,0,4.2,8.4,0.062,TRUE,73.89
2009-02-19,7.17,496.17,0.1,-0.53,2.75,138.75,0.659345815100069,-0.751839807478977,3,2.3,1.9,0,0,7.2,-0.27,FALSE,74.33
2009-02-20,7.12,493.83,0.5,-4.3,1.75,191.25,-0.195090322016128,-0.98078528040323,0.1,3,2.3,1.9,0,7.3,-0.586,FALSE,73.98
2009-02-21,7.07,487.83,0.3,-3.25,2,191.25,-0.195090322016128,-0.98078528040323,0.5,0.1,3,2.3,1.9,7.8,-1.426,FALSE,72.66
2009-02-22,7.08,469,8.4,-1.33,6.63,195,-0.258819045102521,-0.965925826289068,0.3,0.5,0.1,3,2.3,6.2,-1.828,FALSE,71.65
2009-02-23,7.05,503.83,1.5,1.46,2.75,148.75,0.518773258160521,-0.854911870672947,8.4,0.3,0.5,0.1,3,12.3,-1.934,FALSE,70.18
2009-02-24,7.02,497.33,0.1,1.61,3.25,156.25,0.402746689858737,-0.915311479119447,1.5,8.4,0.3,0.5,0.1,10.8,-1.59,TRUE,69.58
2009-02-25,7.02,489.5,1.8,1.65,8.88,237.5,-0.843391445812885,-0.537299608346824,0.1,1.5,8.4,0.3,0.5,10.8,-1.162,TRUE,69.98
2009-02-26,6.99,495.17,6.9,2.99,10.38,247.5,-0.923879532511287,-0.382683432365089,1.8,0.1,1.5,8.4,0.3,12.1,0.028,TRUE,70.69
2009-02-27,6.97,512,0.5,2.35,5,277.5,-0.99144486137381,0.130526192220051,6.9,1.8,0.1,1.5,8.4,18.7,1.276,TRUE,71.57
2009-02-28,6.97,509.67,0,0.81,2.75,237.5,-0.843391445812885,-0.537299608346824,0.5,6.9,1.8,0.1,1.5,10.8,2.012,TRUE,73.06
2009-03-01,6.95,504.67,0,0.6,3.38,77.5,0.976296007119933,0.216439613938103,0,0.5,6.9,1.8,0.1,9.3,1.882,TRUE,74.93
2009-03-02,6.95,493.33,0.1,2.25,5.88,161.25,0.321439465303162,-0.946930129495106,0,0,0.5,6.9,1.8,9.2,1.68,FALSE,75.73
2009-03-03,6.94,491.67,0,2.84,2.25,192.5,-0.216439613938103,-0.976296007119933,0.1,0,0,0.5,6.9,7.5,1.8,FALSE,75.56
2009-03-04,6.94,495.83,0.1,3.76,4.88,135,0.707106781186548,-0.707106781186547,0,0.1,0,0,0.5,0.6,1.77,FALSE,75.07
2009-03-05,6.94,500.5,0,5.49,6.13,111.25,0.932007869282799,-0.362438038283702,0.1,0,0.1,0,0,0.2,2.052,FALSE,74.45
2009-03-06,6.94,503.67,0.1,3.23,5.25,88.75,0.999762027079909,0.021814885034561,0,0.1,0,0.1,0,0.2,2.988,FALSE,74.18
2009-03-07,6.95,500.33,0,2.66,2,60,0.866025403784439,0.5,0.1,0,0.1,0,0.1,0.3,3.514,FALSE,74.08
2009-03-08,6.96,490.67,3.3,3.03,2.25,156.25,0.402746689858737,-0.915311479119447,0,0.1,0,0.1,0,0.2,3.596,FALSE,73.91
2009-03-09,6.97,491.5,0,2.96,4,267.5,-0.999048221581858,-0.043619387365336,3.3,0,0.1,0,0.1,3.5,3.634,FALSE,73.04
2009-03-10,7.02,497,2.7,2.6,4,241.25,-0.876726755707508,-0.480988768919388,0,3.3,0,0.1,0,3.4,3.474,FALSE,71.9
2009-03-11,7.09,502.33,3.3,1.94,3.63,247.5,-0.923879532511287,-0.382683432365089,2.7,0,3.3,0,0.1,6.1,2.896,FALSE,70.88
2009-03-12,7.11,500.67,0,1.56,2.75,132.5,0.737277336810124,-0.67559020761566,3.3,2.7,0,3.3,0,9.3,2.638,TRUE,70.85
2009-03-13,7.11,491.5,0,1.88,3.63,140,0.642787609686539,-0.766044443118978,0,3.3,2.7,0,3.3,9.3,2.418,FALSE,71.32
2009-03-14,7.11,488.5,0.8,3.94,3.63,183.75,-0.065403129230143,-0.997858923238603,0,0,3.3,2.7,0,6,2.188,FALSE,70.46
2009-03-15,7.11,498,0.7,3.94,3,91.25,0.999762027079909,-0.021814885034561,0.8,0,0,3.3,2.7,6.8,2.384,FALSE,69.53
2009-03-16,7.12,489.83,6,2.96,3,220,-0.642787609686539,-0.766044443118978,0.7,0.8,0,0,3.3,4.8,2.652,FALSE,68.85
2009-03-17,7.13,499.17,0.6,4.41,7.75,268.75,-0.999762027079909,-0.021814885034561,6,0.7,0.8,0,0,7.5,2.856,TRUE,68.56
2009-03-18,7.11,515.17,0,3.25,4.38,332.5,-0.461748613235034,0.887010833178222,0.6,6,0.7,0.8,0,8.1,3.426,TRUE,68.82
2009-03-19,7.15,513.83,0,2.71,5.5,58.75,0.854911870672946,0.518773258160522,0,0.6,6,0.7,0.8,8.1,3.7,TRUE,70.93
2009-03-20,7.21,493.5,0,1.74,4.25,161.25,0.321439465303162,-0.946930129495106,0,0,0.6,6,0.7,7.3,3.454,TRUE,72.81
2009-03-21,7.2,493.5,0,2.73,9,251.25,-0.946930129495106,-0.321439465303162,0,0,0,0.6,6,6.6,3.014,TRUE,74.42
